นิติบุคคลจัดตั้งเดือนมกราคม  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,วันที่จดทะเบียน," ทุนจดทะเบียน
 (บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
264,0125558000588,บจ.วีดู แอคเคาน์ติ้ง แอนด์ ลอว์ จำกัด,9/1/2558," 1,000,000 ",ประกอบกิจการด้านบัญชี,59/303 หมู่ที่ 1  ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140
265,0125558000651,บจ.ฮาน่า  ซัพพลาย จำกัด,9/1/2558," 1,000,000 ",ประกอบกิจการให้บริการรับติดตั้งกระก อลูมิเนียม,99/103 หมู่ที่ 10 ถนนบางกรวย-ไทรน้อย  ต.บางเลน อ.บางใหญ่ จ.นนทบุรี 11140
266,0125558000758,บจ.เอส.ซี.อี.9 จำกัด,9/1/2558," 1,000,000 ",ประกอบกิจการรับเหมางานด้านวิศวกรรมไฟฟ้างานวิศวกรรมอื่นๆตลอดจนรับเหมาติดตั้งระบบไฟฟ้า,9/29 หมู่ที่ 8  ต.บางเลน อ.บางใหญ่ จ.นนทบุรี 11140
267,0125558000855,บจ.เมธาภพวิศวการ จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,115/3 หมู่ที่ 3  ต.บางม่วง อ.บางใหญ่ จ.นนทบุรี 11140
268,0125558000979,บจ.ชัยมงคล พลาสแพค จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการ ซื้อมา ขายไป ถุงพลาสติก กล่องกระดาษ รวมถึงชิ้นส่วนของวัสดุดังกล่าว,27/109 หมู่ที่ 3 ถนนตลิ่งชัน-สุพรรณบุรี  ต.บางใหญ่ อ.บางใหญ่ จ.นนทบุรี 11140
269,0125558000995,บจ.เออร์วา เมทัล จำกัด,12/1/2558," 1,000,000 ",ประกอบกิจการค้าโลหะนอกกลุ่มเหล็ก ทุกชนิด,102/139 หมู่ที่ 8 ถนนบางกรวย-ไทรน้อย  ต.บางเลน อ.บางใหญ่ จ.นนทบุรี 11140
270,0125558001509,บจ.ธนาภัทร์ 15 จำกัด,19/1/2558," 1,000,000 ",ประกอบกิจการให้เช่า อพาร์เม้นท์ บ้านเช่า โรงงาน และที่พักอาศัย,3/9 หมู่ที่ 6  ต.บ้านใหม่ อ.บางใหญ่ จ.นนทบุรี 11140
271,0125558001550,บจ.แก้วสวรรค์โปรดักชั่น 2015 จำกัด,19/1/2558," 1,000,000 ",ประกอบกิจการ ผลิตสื่อโฆษณาโทรทัศน์ วิทยุ ทุกชนิด ให้แก่หน่วยงานของรัฐและเอกชน,60/149 หมู่บ้านพฤกษา 41 หมู่ที่ 1  ต.บ้านใหม่ อ.บางใหญ่ จ.นนทบุรี 11140
272,0125558001649,บจ.ทีอาร์. เมดิคอล จำกัด,20/1/2558," 1,000,000 ",จำหน่ายเครื่องมือที่ใช้ในการแพทย์ และอุปกรณ์ในห้องผ่าตัดทุกชนิด,89/340 หมู่ที่ 8 ถนนบางรักใหญ่-บ้านใหม่  ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140
273,0125558001681,บจ.ไดมอนด์  ไบรท์ จำกัด,20/1/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารพักอาศัยและงานก่อสร้างอื่นทุกชนิด,27/40 หมู่ที่ 11  ต.บ้านใหม่ อ.บางใหญ่ จ.นนทบุรี 11140
274,0125558001819,บจ.โอเพ่น เกท คอร์ปอเรชั่น จำกัด,22/1/2558," 1,000,000 ",ประกอบกิจการผลิตและจัดจำหน่ายอุปกรณ์ไฟฟ้า อิเลคโทรนิค สื่อสาร คอมพิวเตอร์,73/91 หมู่ที่ 4 ถนนกาญจนาภิเษก  ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140
275,0125558001924,บจ.มิ่งมงคล มัลติเทรด จำกัด,23/1/2558," 1,000,000 ",ประกอบกิจการค้าจักร จักรอุตสาหกรรม เครื่องชั่งน้ำหนัก เครื่องวัดความชื้น เครื่องบรรจุผลิตภัณฑ์,13/13 หมู่ที่ 5  ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140
276,0125558002009,บจ.888 ริช จำกัด,26/1/2558," 1,000,000 ",ค้าวัสดุก่อสร้าง อุปกรณ์และเครื่่ีองมือใช้ในการก่อสร้าง เครื่องมือช่างทุกประเภท สี เครื่องมือทาสี,98/5 หมู่ที่ 10  ต.บางม่วง อ.บางใหญ่ จ.นนทบุรี 11140
277,0125558002092,บจ.แพรคทิเคิล ซิสเต็มส์ จำกัด,26/1/2558," 1,000,000 ",ธุรกิจบริการฝึกอบรมสัมนา ให้คำแนะนำปรึกษาด้านการบริหารจัดการและด้านอื่นๆ,98/481 หมู่ที่ 10  ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140
278,0125558002114,บจ.วอรัส ดิสทริบิวชั่น จำกัด,26/1/2558," 1,000,000 ",ประกอบกิจการจำหน่ายสินค้าอุปโภคและบริโภค,63/144 หมู่ที่ 8  ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140
279,0125558002246,บจ.เฟง หมิง ควาง อี้ จำกัด,26/1/2558," 1,000,000 ",ประกอบกิจการทำเหมือนแร่,73/94 หมู่ที่ 5  ต.เสาธงหิน อ.บางใหญ่ จ.นนทบุรี 11140
280,0125558002271,บจ.เคเอส โปรเจ็ค จำกัด,27/1/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,95/36 หมู่ที่ 10  ต.บางม่วง อ.บางใหญ่ จ.นนทบุรี 11140
281,0125558002441,บจ.เจพีแอล อลูมิเนียม แอนด์ กลาส จำกัด,28/1/2558," 1,000,000 ",ประกอบกิจการขายส่งขายปลีกผลิตภัณฑ์ที่มีโครงสร้างโลหะเช่นประตูโลหะและแผงโลหะกรอบหน้าต่างและกรอบกระจกฯ,67/126 หมู่ที่ 10  ต.บางเลน อ.บางใหญ่ จ.นนทบุรี 11140
282,0125558002696,บจ.เอ็ม.ที.พี. วันเซอร์วิส จำกัด,29/1/2558," 1,000,000 ",การให้บริการ ซ่อมแซม บำรุงรักษา เครื่องจักร ของระบบผลิตน้ำประปา และระบบปรับปรุงคุณภาพน้ำเสีย,60/144 หมู่ที่ 5  ต.บางม่วง อ.บางใหญ่ จ.นนทบุรี 11140
283,0125558002751,บจ.อ้อ ไดรเวอร์ นนทบุรี จำกัด,30/1/2558," 1,000,000 ",ประกอบกิจการรับสอนขับรถยนต์ทุกชนิด,11/2 หมู่ที่ 13  ต.บางแม่นาง อ.บางใหญ่ จ.นนทบุรี 11140
